0000| 그들은 저희끼리만 밥을 먹고 우리에게는 밥 한 숟가락 주지 않았습니다.
0001| 무슨 로봇이 저렇게 시끄러울까?
0002| 그래요, 그런 말들을 지어낼 수 있다니 가증스럽네요.
0003| 아이들에게는 제대로 된 학습 공간이 필요한데 이게 뭡니까?
0004| 헛된 희망이었다, 눈이 더 매섭게 비길 뿐이었다.
0005| 그녀에 대하여서는 무한한 증오에 여민한다.
0006| 성서에서 증오하는 것 중 하나는 전쟁이다.
0007| 마침내 그는 제 자신을 잡고 따졌다.
0008| 그는 이 사실 너무나 가혹하게 생각되었다.
0009| 색이 왜 이래?
0010| 비리비리하고 메스껄여서 더 바라볼 수가 없다.
0011| 그 외에도 이 작품은 보드빌에 대한 열광을 조롱하고 있었다.
0012| 답답하다는 듯 앉아 있다, 머리카락을 다시 쥐고 잡아당겼다.
0013| 쉭쉭거린다, 고함 소리가 너무 커, 그의 차에서 내리지 않는가.
0014| 가장 미워하기 때문에 너를 죽이려고 결심한 나요.
0015| 그녀에게 가봐요, 당신만이 알 수 있어요.
0016| 어부가 이렇게 말했을 때, 바다에서 성난 파도가 울렁였다.
0017| 왜 고개를 갸우뚱거리지?
0018| 그는 경멸스러운 표정을 지었다.
0019| 맞은편에는 낯익은 여자 구두가 놓여 있다.
0020| 남편을 죽인 공산당은 그에게 철천지 원수이다.
0021| 노여움이 솟아올랐다.
0022| 별게 없대.
0023| 참 이기적이야.
0024| 내가 민족을 위하는 피가 한 방울이라도 흐른다면 내 목을 바친다.
0025| 그녀를 배반하고 희롱한 사나이.
0026| 내가 도둑질한 거 다 알아?
0027| 머슴이 뺨을 갈겼다.
0028| 비밀들이 이 철거봇 아래에도 숨어 있었으리라.
0029| 그녀는 입술을 피가 흐르도록 깨물었다.
0030| 그녀가 죽었다고 하면서 펄펄 뛰었어요.
0031| 겁 주려고 갖고 있는 거야.
0032| 네가 그렇지 뭐.
0033| 아들을 찾으며 길에 기어나와서 죽었다 합니다.
0034| 그는 잘못을 하나는 없었다.
0035| 하나도 인정하지 않았다.
0036| 금고 자물쇠를 만졌다니.
0037| 밤새 갈등과 고통으로 괴로워하던 노화가는 다시 정신을 차려 일어났소.
0038| 너는 전생에 죄가 많아서 나를 베었단다.
0039| 이름 위에 붉은 줄을 긋게 하지 않았습니까?
0040| 뺨이라도 후려치고 싶다.
0041| 전혀 눈치채지 못했다.
0042| 아래층에 있는 전어 앞으로 달려가 집에 전어를 걸어보았다.
0043| 동포를 사랑하는 정에 끓는 그는 사나운 사자보다도 무서웠습니다.
0044| 일본 놈에 안랑했으니까 그렇게 돈을 벌었지.
0045| 어린애까지 죽이다니.
0046| 이를 파드득하고 갈면서 입술을 깨물었다.
0047| 아내가 수천리 먼 길을 찾아온 남편이 아득하였다.
0048| 이가 북북 갈린다.
0049| 심한 사람은 그것을 읽으면 구역쟁이 난다고까지 말하오.
0050| 아들이 아버지 묘를 훼손하는 불경스러운 짓을.
0051| 소리를 듣고 그녀는 그만 울기 시작하였습니다.
0052| 그 인간에 대한 어떤 불신과 여건을 지켜보았다.
0053| 어떤 불신과 염증이 훅 끼쳐 온다.
0054| 유치장에 가야지, 그 사람은.
0055| 그녀는 한숨을 한 번 쉬더니 떨리는 목소리로 말했다.
0056| 한동안 육류 위주로 먹었자니 그를 증오하면서도 오는 자극을 더욱 받았다.
0057| 이런 핵락 녀석 왜 이리 덤벙대는 거야?
0058| 외선은 물에 잠기기 시작했고, 외병들은 비명을 지르며 죽어갔습니다.
0059| 더럽다, 더러워, 어머니 돌아가셨다고 형이 울기나 할 것 같아요?
0060| 밀어먹다가 얼음판에가 넘어질 녀석아, 정신 차리지 못하고 이게 무슨 짓이냐?
0061| 그는 아우를 밀치고 내리찌었다.
0062| 난들 분이 안 나겠습니까?
0063| 모두 갔다가 그 모양으로 이용을 한답니다.
0064| 그는 자기 아버지를 경멸해 왔었다.
0065| 정신분열증 환자와는 더 살 수가 없다.
0066| 돈이 없는 모양이군요.
0067| 그의 목에 매달려 떨어지지 않으려 했다.
0068| 그의 모습은 마치 해골과 같이 여위어 보였습니다.
0069| 곤충만도 못해.
0070| 당신 존재가 나를 힘들게 해.
0071| 그는 그 사람이 몹시 싫었다.
0072| 귀에 윙윙 소리가 납니다.
0073| 바다를 건너왔지요.
0074| 조서를 보시면 저절로 아실 것이 옳시다.
0075| 머리를 나에게 돌리더니 나를 노려보며 위협했습니다.
0076| 자기를 감쪽같이 골려 먹은 유모가 밉다 못해 분했다.
0077| 그것은 멸시 이외의 아무것도 아니었다.
0078| 화가 솟구친다.
0079| 특별상은 두 학생이 수상했다.
0080| 복수의 칼날은 그의 사지를 지켰다.
0081| 그는 그의 목을 찢고 사람들의 증오를 받게 하였다.
0082| 고이헌 놈, 하늘이 내려다본다 이놈!
0083| 파트로 메주를 쓴다고 하여도 너 말보단 믿음직스럽다.
0084| 장군을 모함하고 국가와 민족을 외장한테 팔아먹은 녀석이다.
0085| 네 오빠 죽이는 것을 보았단다.
0086| 그것은 그 사이에 품 놓고 다니던 분풀이로나 때워 버리려는 듯하였다.
0087| 이 건물은 일제의 수탈의 상징이었던 건물이었어요.
0088| 그는 괴성을 지르며 남을 죽였다.
0089| 남은 힘을 다해 몸을 일으켜 칼을 치켜들었다.
0090| 모든 주택의 방문도 거의 다 태워 버려 아궁이도 쓸어갔을 것도 틀림없다.
0091| 원수를 만났다.
0092| 그리고 각각의 무리는 다른 무리에게서 이를 빼앗으려 애쓰고 있었습니다.
0093| 나는 헛소리하는 그에게 주먹을 힘차게 뻗었다.
0094| 이것을 천시하고 경시하고 사갈시한다.
0095| 발동기를 듣기만 해도 영감에 부르르 떨었다.
